run,crossing_mean,max_peds,vision_range,stoch_variable,strategy,mean
35,0.4818359375,46.0,5.18359375,0.198330078125,Reactive,0.095
36,0.2181640625,53.0,5.18359375,0.198330078125,Reactive,0.0906
37,0.2181640625,46.0,3.07421875,0.198330078125,Reactive,0.0784
38,0.2181640625,46.0,5.18359375,0.133759765625,Reactive,0.0872
39,0.2181640625,46.0,5.18359375,0.198330078125,Reactive,0.0646
40,0.4068359375,38.0,2.57421875,0.097509765625,Reactive,0.0934
41,0.2931640625,38.0,2.57421875,0.097509765625,Reactive,0.0616
42,0.4068359375,51.0,2.57421875,0.097509765625,Reactive,0.0698
43,0.4068359375,38.0,3.68359375,0.097509765625,Reactive,0.0718
44,0.4068359375,38.0,2.57421875,0.017080078125,Reactive,0.0866
45,0.4068359375,51.0,3.68359375,0.017080078125,Reactive,0.0824
46,0.2931640625,38.0,3.68359375,0.017080078125,Reactive,0.087
47,0.2931640625,51.0,2.57421875,0.017080078125,Reactive,0.1046
48,0.2931640625,51.0,3.68359375,0.097509765625,Reactive,0.0976
49,0.2931640625,51.0,3.68359375,0.017080078125,Reactive,0.096
50,0.7068359375,58.0,4.57421875,0.242509765625,Reactive,0.0808
51,0.5931640625,58.0,4.57421875,0.242509765625,Reactive,0.088
52,0.7068359375,31.0,4.57421875,0.242509765625,Reactive,0.0734
53,0.7068359375,58.0,5.68359375,0.242509765625,Reactive,0.0864
54,0.7068359375,58.0,4.57421875,0.162080078125,Reactive,0.084
55,0.7068359375,31.0,5.68359375,0.162080078125,Reactive,0.0634
56,0.5931640625,58.0,5.68359375,0.162080078125,Reactive,0.1004
57,0.5931640625,31.0,4.57421875,0.162080078125,Reactive,0.05
58,0.5931640625,31.0,5.68359375,0.242509765625,Reactive,0.0648
59,0.5931640625,31.0,5.68359375,0.162080078125,Reactive,0.053
60,0.5568359375,28.0,3.57421875,0.025009765625,Reactive,0.0668
61,0.7431640625,28.0,3.57421875,0.025009765625,Reactive,0.068
62,0.5568359375,21.0,3.57421875,0.025009765625,Reactive,0.0558
63,0.5568359375,28.0,2.68359375,0.025009765625,Reactive,0.0664
64,0.5568359375,28.0,3.57421875,0.234580078125,Reactive,0.0658
65,0.5568359375,21.0,2.68359375,0.234580078125,Reactive,0.048
66,0.7431640625,28.0,2.68359375,0.234580078125,Reactive,0.0608
67,0.7431640625,21.0,3.57421875,0.234580078125,Reactive,0.047
68,0.7431640625,21.0,2.68359375,0.025009765625,Reactive,0.0546
69,0.7431640625,21.0,2.68359375,0.234580078125,Reactive,0.0516
70,0.2568359375,48.0,5.57421875,0.170009765625,Reactive,0.094
71,0.4431640625,48.0,5.57421875,0.170009765625,Reactive,0.0844
72,0.2568359375,41.0,5.57421875,0.170009765625,Reactive,0.0618
73,0.2568359375,48.0,4.68359375,0.170009765625,Reactive,0.0796
74,0.2568359375,48.0,5.57421875,0.089580078125,Reactive,0.092
75,0.2568359375,41.0,4.68359375,0.089580078125,Reactive,0.0808
76,0.4431640625,48.0,4.68359375,0.089580078125,Reactive,0.1062
77,0.4431640625,41.0,5.57421875,0.089580078125,Reactive,0.0746
78,0.4431640625,41.0,4.68359375,0.170009765625,Reactive,0.0846
79,0.4431640625,41.0,4.68359375,0.089580078125,Reactive,0.0606
80,0.2380859375,27.0,2.19921875,0.142822265625,Reactive,0.0588
81,0.5744140625,27.0,2.19921875,0.142822265625,Reactive,0.057
82,0.2380859375,30.0,2.19921875,0.142822265625,Reactive,0.068
83,0.2380859375,27.0,5.80859375,0.142822265625,Reactive,0.0608
84,0.2380859375,27.0,2.19921875,0.243642578125,Reactive,0.063
85,0.2380859375,30.0,5.80859375,0.243642578125,Reactive,0.0636
86,0.5744140625,27.0,5.80859375,0.243642578125,Reactive,0.0562
87,0.5744140625,30.0,2.19921875,0.243642578125,Reactive,0.0688
88,0.5744140625,30.0,5.80859375,0.142822265625,Reactive,0.0642
89,0.5744140625,30.0,5.80859375,0.243642578125,Reactive,0.0668
90,0.5380859375,47.0,4.19921875,0.287822265625,Reactive,0.0752
91,0.2744140625,47.0,4.19921875,0.287822265625,Reactive,0.0708
92,0.5380859375,50.0,4.19921875,0.287822265625,Reactive,0.0742
93,0.5380859375,47.0,3.80859375,0.287822265625,Reactive,0.0942
94,0.5380859375,47.0,4.19921875,0.098642578125,Reactive,0.1038
95,0.5380859375,50.0,3.80859375,0.098642578125,Reactive,0.0996
96,0.2744140625,47.0,3.80859375,0.098642578125,Reactive,0.0902
97,0.2744140625,50.0,4.19921875,0.098642578125,Reactive,0.091
98,0.2744140625,50.0,3.80859375,0.287822265625,Reactive,0.08
99,0.2744140625,50.0,3.80859375,0.098642578125,Reactive,0.0964
100,0.6880859375,37.0,3.19921875,0.070322265625,Reactive,0.0818
101,0.4244140625,37.0,3.19921875,0.070322265625,Reactive,0.0918
102,0.6880859375,40.0,3.19921875,0.070322265625,Reactive,0.0738
103,0.6880859375,37.0,4.80859375,0.070322265625,Reactive,0.0764
