# This is a generated file to store info about the model
# Light strategy: Reactive
# Timesteps of each simulation: 5000
# Crowdedness: Unkown?
iteration,agent_type,unique_id,time_spent
0,Pedestrian,531,291
0,Pedestrian,551,299
0,Pedestrian,541,361
0,Pedestrian,563,336
0,Pedestrian,552,377
0,Pedestrian,538,307
0,Pedestrian,540,311
0,Pedestrian,537,327
0,Pedestrian,532,374
0,Car,570,312
0,Car,571,293
0,Car,582,169
0,Car,594,126
0,Car,569,505
