run,crossing_mean,max_peds,vision_range,stoch_variable,strategy,mean
150,0.3130859375,42.0,3.69921875,0.10657226562499998,Reactive,0.1038
151,0.6494140625,42.0,3.69921875,0.10657226562499998,Reactive,0.072
152,0.3130859375,25.0,3.69921875,0.10657226562499998,Reactive,0.0616
153,0.3130859375,42.0,3.30859375,0.10657226562499998,Reactive,0.084
154,0.3130859375,42.0,3.69921875,0.134892578125,Reactive,0.0894
155,0.3130859375,25.0,3.30859375,0.134892578125,Reactive,0.061
156,0.6494140625,42.0,3.30859375,0.134892578125,Reactive,0.0852
157,0.6494140625,25.0,3.69921875,0.134892578125,Reactive,0.0614
158,0.6494140625,25.0,3.30859375,0.10657226562499998,Reactive,0.054
159,0.6494140625,25.0,3.30859375,0.134892578125,Reactive,0.0628
160,0.27558593750000004,35.0,5.94921875,0.015947265625,Reactive,0.0768
161,0.23691406250000002,35.0,5.94921875,0.015947265625,Reactive,0.0772
162,0.27558593750000004,22.0,5.94921875,0.015947265625,Reactive,0.0502
163,0.27558593750000004,35.0,4.05859375,0.015947265625,Reactive,0.0758
164,0.27558593750000004,35.0,5.94921875,0.08051757812499999,Reactive,0.0796
165,0.27558593750000004,22.0,4.05859375,0.08051757812499999,Reactive,0.0522
166,0.23691406250000002,35.0,4.05859375,0.08051757812499999,Reactive,0.0636
167,0.23691406250000002,22.0,5.94921875,0.08051757812499999,Reactive,0.0486
168,0.23691406250000002,22.0,4.05859375,0.015947265625,Reactive,0.0558
169,0.23691406250000002,22.0,4.05859375,0.08051757812499999,Reactive,0.0532
170,0.5755859375000001,55.0,3.94921875,0.160947265625,Reactive,0.08
171,0.5369140625000001,55.0,3.94921875,0.160947265625,Reactive,0.092
172,0.5755859375000001,42.0,3.94921875,0.160947265625,Reactive,0.0722
173,0.5755859375000001,55.0,2.05859375,0.160947265625,Reactive,0.0842
174,0.5755859375000001,55.0,3.94921875,0.225517578125,Reactive,0.0952
175,0.5755859375000001,42.0,2.05859375,0.225517578125,Reactive,0.063
176,0.5369140625000001,55.0,2.05859375,0.225517578125,Reactive,0.1076
177,0.5369140625000001,42.0,3.94921875,0.225517578125,Reactive,0.0622
178,0.5369140625000001,42.0,2.05859375,0.160947265625,Reactive,0.0846
179,0.5369140625000001,42.0,2.05859375,0.225517578125,Reactive,0.0898
180,0.7255859375,25.0,4.94921875,0.088447265625,Reactive,0.045
181,0.6869140625000001,25.0,4.94921875,0.088447265625,Reactive,0.0576
182,0.7255859375,52.0,4.94921875,0.088447265625,Reactive,0.0852
183,0.7255859375,25.0,5.05859375,0.088447265625,Reactive,0.0552
184,0.7255859375,25.0,4.94921875,0.298017578125,Reactive,0.0598
185,0.7255859375,52.0,5.05859375,0.298017578125,Reactive,0.1014
186,0.6869140625000001,25.0,5.05859375,0.298017578125,Reactive,0.0608
187,0.6869140625000001,52.0,4.94921875,0.298017578125,Reactive,0.0782
188,0.6869140625000001,52.0,5.05859375,0.088447265625,Reactive,0.105
189,0.6869140625000001,52.0,5.05859375,0.298017578125,Reactive,0.0778
190,0.42558593750000007,45.0,2.94921875,0.23344726562499998,Reactive,0.0816
191,0.38691406250000004,45.0,2.94921875,0.23344726562499998,Reactive,0.0734
192,0.42558593750000007,32.0,2.94921875,0.23344726562499998,Reactive,0.0654
193,0.42558593750000007,45.0,3.05859375,0.23344726562499998,Reactive,0.0974
194,0.42558593750000007,45.0,2.94921875,0.153017578125,Reactive,0.0912
195,0.42558593750000007,32.0,3.05859375,0.153017578125,Reactive,0.0596
196,0.38691406250000004,45.0,3.05859375,0.153017578125,Reactive,0.0818
197,0.38691406250000004,32.0,2.94921875,0.153017578125,Reactive,0.0592
198,0.38691406250000004,32.0,3.05859375,0.23344726562499998,Reactive,0.0658
199,0.38691406250000004,32.0,3.05859375,0.153017578125,Reactive,0.0732
200,0.3505859375,20.0,3.44921875,0.269697265625,Reactive,0.0486
201,0.46191406250000006,20.0,3.44921875,0.269697265625,Reactive,0.048
202,0.3505859375,27.0,3.44921875,0.269697265625,Reactive,0.0672
203,0.3505859375,20.0,5.55859375,0.269697265625,Reactive,0.0482
204,0.3505859375,20.0,3.44921875,0.261767578125,Reactive,0.0446
205,0.3505859375,27.0,5.55859375,0.261767578125,Reactive,0.0584
206,0.46191406250000006,20.0,5.55859375,0.261767578125,Reactive,0.0448
207,0.46191406250000006,27.0,3.44921875,0.261767578125,Reactive,0.0618
